config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A0,0,000000,No edges,0,none,0.3,0.6333333333333333,0.8333333333333334,0.446398901657954,0.530540280952191,0.016666666666666666,0.05,0.15,0.06311474403379706,,,4.4
A1,1,000001,sc,1,shared_column_name,0.3333333333333333,0.6666666666666666,0.8666666666666667,0.4978360520246485,0.5790027851776357,0.36666666666666664,0.7333333333333333,0.9166666666666666,0.5200302442544726,,,1.6
A2,2,000010,cc,1,similar_content,0.3,0.75,0.8833333333333333,0.49147636926913224,0.5817767845180043,0.36666666666666664,0.8,0.8666666666666667,0.5471214557572917,,,2.8
A3,3,000011,cc + sc,2,"similar_content, shared_column_name",0.4,0.6833333333333333,0.8666666666666667,0.5319161540214172,0.6046796967836272,0.3333333333333333,0.7,0.8666666666666667,0.5048457219309753,,,1.8
A8,8,001000,tp,1,comes_from,0.36666666666666664,0.6333333333333333,0.8,0.4959264795235768,0.5586440065793536,0.36666666666666664,0.6333333333333333,0.85,0.5016902958152958,,,1.8
A9,9,001001,tp + sc,2,"comes_from, shared_column_name",0.3,0.7833333333333333,0.9333333333333333,0.48942267563591085,0.5918648605131902,0.31666666666666665,0.7333333333333333,0.9,0.5056909430438842,,,2.1
A10,10,001010,tp + cc,2,"comes_from, similar_content",0.31666666666666665,0.6666666666666666,0.9,0.4970734126984127,0.5888902144094506,0.3,0.7333333333333333,0.8833333333333333,0.49187985793732686,,,1.9
A11,11,001011,tp + cc + sc,3,"comes_from, similar_content, shared_column_name",0.23333333333333334,0.6166666666666667,0.8166666666666667,0.41216588966588963,0.4987222994314611,0.31666666666666665,0.65,0.9,0.48111642805270255,,,1.7
A16,16,010000,tc,1,has_column,0.3333333333333333,0.6666666666666666,0.8666666666666667,0.500697335072335,0.5800189579278903,0.45,0.7666666666666667,0.9,0.5755673820113476,,,2.6
A17,17,010001,tc + sc,2,"has_column, shared_column_name",0.2833333333333333,0.6333333333333333,0.8166666666666667,0.44725680875710794,0.5292419031571917,0.3333333333333333,0.75,0.9,0.5142643389905699,,,1.8
A18,18,010010,tc + cc,2,"has_column, similar_content",0.35,0.7,0.85,0.5030165913521176,0.579063977634698,0.35,0.75,0.9333333333333333,0.5165477115477114,,,2.2
A19,19,010011,tc + cc + sc,3,"has_column, similar_content, shared_column_name",0.31666666666666665,0.7833333333333333,0.9,0.49672147210406764,0.5896767581031771,0.31666666666666665,0.7666666666666667,0.9166666666666666,0.4938690476190475,,,2.3
A24,24,011000,tc + tp,2,"has_column, comes_from",0.43333333333333335,0.8,0.95,0.5922378547378548,0.6757256945590107,0.36666666666666664,0.8666666666666667,0.95,0.5700692024777391,,,2.7
A25,25,011001,tc + tp + sc,3,"has_column, comes_from, shared_column_name",0.36666666666666664,0.7166666666666667,0.8833333333333333,0.5121073271888489,0.5950875974460855,0.31666666666666665,0.7333333333333333,0.9,0.49290744749078075,,,2.7
A26,26,011010,tc + tp + cc,3,"has_column, comes_from, similar_content",0.3333333333333333,0.65,0.8333333333333334,0.48625164090434236,0.5601821718621636,0.4,0.7666666666666667,0.8833333333333333,0.5558854327861682,,,2.2
A27,27,011011,tc + tp + cc + sc,4,"has_column, comes_from, similar_content, shared_column_name",0.2833333333333333,0.7166666666666667,0.7833333333333333,0.45042807886557873,0.5205586984496273,0.3,0.75,0.8833333333333333,0.4757879188712522,,,2.0
A32,32,100000,tt,1,similar_table,0.26666666666666666,0.6666666666666666,0.7666666666666667,0.436669956047118,0.5073330015034542,0.21666666666666667,0.55,0.7666666666666667,0.40182791427737513,,,2.9
A33,33,100001,tt + sc,2,"similar_table, shared_column_name",0.23333333333333334,0.55,0.7666666666666667,0.377052741582993,0.4593243686973523,0.21666666666666667,0.6166666666666667,0.8,0.401663317427117,,,2.4
A34,34,100010,tt + cc,2,"similar_table, similar_content",0.2,0.6,0.75,0.37214369395017105,0.4512254867017965,0.2833333333333333,0.6166666666666667,0.8833333333333333,0.43434498524547255,,,3.0
A35,35,100011,tt + cc + sc,3,"similar_table, similar_content, shared_column_name",0.31666666666666665,0.65,0.8,0.47569780437427495,0.5456496183927044,0.35,0.7,0.8833333333333333,0.4979874141610135,,,1.9
A40,40,101000,tt + tp,2,"similar_table, comes_from",0.26666666666666666,0.6333333333333333,0.7666666666666667,0.4036078726477582,0.47814592712769194,0.3,0.5833333333333334,0.8333333333333334,0.44366581954997286,,,2.1
A41,41,101001,tt + tp + sc,3,"similar_table, comes_from, shared_column_name",0.26666666666666666,0.6333333333333333,0.8166666666666667,0.43286236095571723,0.5171199367761691,0.31666666666666665,0.6833333333333333,0.8833333333333333,0.4863995041205407,,,1.7
A42,42,101010,tt + tp + cc,3,"similar_table, comes_from, similar_content",0.2833333333333333,0.5833333333333334,0.85,0.43915530765530764,0.5280994908135018,0.21666666666666667,0.65,0.8833333333333333,0.4086370955936172,,,3.3
A43,43,101011,tt + tp + cc + sc,4,"similar_table, comes_from, similar_content, shared_column_name",0.36666666666666664,0.6333333333333333,0.8166666666666667,0.5094829892329892,0.5732521049200588,0.38333333333333336,0.6333333333333333,0.8333333333333334,0.513063032646366,,,3.3
A48,48,110000,tt + tc,2,"similar_table, has_column",0.25,0.65,0.8166666666666667,0.43087361712361716,0.5144120490482956,0.31666666666666665,0.7333333333333333,0.9,0.49778851624281734,,,1.4
A49,49,110001,tt + tc + sc,3,"similar_table, has_column, shared_column_name",0.38333333333333336,0.75,0.8833333333333333,0.5314665110717741,0.6101344000143942,0.4,0.7833333333333333,0.9166666666666666,0.5542250555060455,,,1.5
A50,50,110010,tt + tc + cc,3,"similar_table, has_column, similar_content",0.3,0.7,0.8666666666666667,0.4756868508216547,0.5620632916336505,0.3,0.6,0.8833333333333333,0.4547961852961852,,,1.9
A51,51,110011,tt + tc + cc + sc,4,"similar_table, has_column, similar_content, shared_column_name",0.3333333333333333,0.6333333333333333,0.85,0.4742548227738444,0.5565468109947359,0.2833333333333333,0.6166666666666667,0.8166666666666667,0.44419000063833647,,,2.4
