config,code,binary,label,num_edges,kept_edges,QA_R@1,QA_R@5,QA_R@10,QA_MRR,QA_nDCG@10,TWIG_R@1,TWIG_R@5,TWIG_R@10,TWIG_MRR,twig_best_epoch,qa_best_epoch,elapsed_min
A0,0,000000,No edges,0,none,0.30873015873015874,0.5526455026455026,0.6865079365079365,0.5003716301335348,0.5138845868600078,0.015873015873015872,0.047619047619047616,0.08492063492063491,0.04386495338876291,,,2.2
A1,1,000001,sc,1,shared_column_name,0.39206349206349206,0.6113756613756615,0.734920634920635,0.565803728898967,0.5715142002519124,0.023809523809523808,0.09841269841269841,0.16560846560846562,0.07854623330813808,,,1.5
A2,2,000010,cc,1,similar_content,0.3134920634920635,0.5632275132275132,0.6330687830687831,0.4558578987150415,0.47859932902430385,0.0,0.06349206349206349,0.17063492063492064,0.03637566137566138,,,0.9
A3,3,000011,cc + sc,2,"similar_content, shared_column_name",0.24656084656084656,0.5298941798941799,0.6875661375661376,0.4458490803728899,0.47462144815936735,0.03968253968253968,0.12433862433862433,0.20264550264550266,0.10222348198538674,,,1.0
A4,4,000100,sp,1,same_page,0.3664021164021164,0.6391534391534393,0.7455026455026456,0.5689279415469892,0.5739378555377506,0.023809523809523808,0.1349206349206349,0.2592592592592593,0.09159108087679516,,,1.1
A5,5,000101,sp + sc,2,"same_page, shared_column_name",0.32857142857142857,0.5521164021164021,0.6994708994708996,0.49595616024187444,0.5194901617968591,0.12698412698412698,0.2777777777777778,0.39206349206349206,0.21121819098009573,,,0.9
A6,6,000110,sp + cc,2,"same_page, similar_content",0.34179894179894177,0.6304232804232806,0.7597883597883599,0.5661312673217435,0.5692444823327483,0.015873015873015872,0.09523809523809523,0.16719576719576718,0.057319223985890656,,,1.3
A7,7,000111,sp + cc + sc,3,"same_page, similar_content, shared_column_name",0.3616402116402116,0.6145502645502646,0.7018518518518518,0.5550012597631645,0.5568029155719765,0.16984126984126982,0.33412698412698416,0.47619047619047616,0.3010330057949105,,,0.9
A8,8,001000,tp,1,comes_from,0.4171957671957672,0.647883597883598,0.7018518518518518,0.5901612496850592,0.5820045440374192,0.12222222222222222,0.25952380952380955,0.4642857142857143,0.24185563114134537,,,1.7
A9,9,001001,tp + sc,2,"comes_from, shared_column_name",0.3833333333333333,0.6097883597883598,0.6923280423280425,0.5521730914588057,0.5500840576180239,0.19365079365079363,0.4486772486772486,0.6026455026455027,0.3472852103804485,,,1.2
A10,10,001010,tp + cc,2,"comes_from, similar_content",0.38015873015873014,0.628835978835979,0.6891534391534392,0.5686696900982615,0.5594809077484749,0.047619047619047616,0.1798941798941799,0.3211640211640211,0.13871252204585538,,,1.1
A11,11,001011,tp + cc + sc,3,"comes_from, similar_content, shared_column_name",0.34973544973544973,0.5708994708994709,0.7113756613756614,0.5260959939531368,0.5440439841118817,0.34973544973544973,0.5375661375661376,0.6206349206349207,0.49583018392542194,,,1.1
A12,12,001100,tp + sp,2,"comes_from, same_page",0.46957671957671954,0.6328042328042329,0.7201058201058202,0.6190917107583774,0.6077846862465142,0.2764550264550264,0.4947089947089947,0.5984126984126985,0.4409800957420004,,,0.9
A13,13,001101,tp + sp + sc,3,"comes_from, same_page, shared_column_name",0.3656084656084656,0.6121693121693123,0.7296296296296296,0.5538548752834467,0.5595785414525295,0.30476190476190473,0.5775132275132275,0.6732804232804234,0.4823570168808264,,,2.0
A14,14,001110,tp + sp + cc,3,"comes_from, same_page, similar_content",0.3253968253968254,0.5957671957671957,0.7074074074074075,0.5080435878054925,0.5271049623393155,0.14285714285714285,0.2989417989417989,0.4497354497354497,0.24429957168052396,,,1.2
A15,15,001111,tp + sp + cc + sc,4,"comes_from, same_page, similar_content, shared_column_name",0.43386243386243384,0.5685185185185184,0.6962962962962963,0.5788359788359787,0.5703183306267026,0.34444444444444444,0.5558201058201058,0.7256613756613758,0.5256298815822624,,,1.4
A16,16,010000,tc,1,has_column,0.3841269841269841,0.647883597883598,0.7113756613756614,0.5620559334845049,0.5635699767098814,0.03492063492063492,0.19365079365079363,0.27804232804232804,0.12614008566389517,,,1.3
A17,17,010001,tc + sc,2,"has_column, shared_column_name",0.396031746031746,0.6272486772486774,0.7574074074074075,0.5777966742252457,0.5834912895387495,0.2777777777777778,0.5198412698412699,0.6917989417989419,0.4217939027462837,,,1.2
A18,18,010010,tc + cc,2,"has_column, similar_content",0.3338624338624338,0.5764550264550264,0.6404761904761905,0.5000629881582261,0.49955149070842786,0.07142857142857142,0.23412698412698413,0.3187830687830688,0.1585097001763668,,,1.4
A19,19,010011,tc + cc + sc,3,"has_column, similar_content, shared_column_name",0.396031746031746,0.6708994708994709,0.724867724867725,0.5751952632905014,0.5735300567342845,0.3484126984126984,0.5904761904761905,0.6370370370370372,0.5013227513227513,,,1.5
A20,20,010100,tc + sp,2,"has_column, same_page",0.4521164021164021,0.6145502645502646,0.7293650793650794,0.6351599899218946,0.6081129452058822,0.3365079365079365,0.6060846560846561,0.7494708994708996,0.5279667422524565,,,1.0
